#Compound                    Mass                        parameter_A              parameter_B
HOM_O9CBN                    278.000000000000             7.440400000000          5670.081166981670
HOM_O10CBN                   294.000000000000             6.435500000000          5649.648141097981
HOM_O11CBN                   310.000000000000             7.433200000000          6393.283824468810
HOM_O12CBN                   326.000000000000             6.428300000000          6372.850703233667
HOM_O13CBN                   342.000000000000             8.974400000000          7297.423348300933
HOM_O4                       200.000000000000             8.995500000000          5375.561240424234
HOM_O5                       216.000000000000             8.281500000000          5237.949558516840
HOM_O6                       232.000000000000             7.276500000000          5217.516592539412
HOM_O7                       248.000000000000             9.159400000000          5828.125841489222
HOM_O8                       264.000000000000             8.154400000000          5807.692798681090
HOM_O9                       280.000000000000             9.152200000000          6551.328543649268
HOM_O10                      296.000000000000             8.147200000000          6530.895461989532
HOM_O11                      312.000000000000             9.145000000000          7274.531107875014
HOM_O12                      328.000000000000             8.140000000000          7254.098068612533
HOM_O13                      344.000000000000            10.686200000000          8178.670685174244
HOM_O14                      360.000000000000             9.972200000000          8041.059008730548
HOM_NO7                      261.000000000000             9.422900000000          5576.389834793348
HOM_NO8                      277.000000000000             7.874500000000          5395.452841491134
HOM_NO9                      293.000000000000             8.907300000000          5754.279990315708
HOM_NO10                     309.000000000000             7.902400000000          5733.846950244937
HOM_NO11                     325.000000000000             8.900100000000          6477.482654549956
HOM_NO12                     341.000000000000             7.895100000000          6457.049563148398
HOM_NO13                     357.000000000000             8.892900000000          7200.685213304158
HOM_NO14                     373.000000000000             7.887900000000          7180.252167454631
HOM_NO15                     389.000000000000            10.434100000000          8104.824873757167
HOM20_O5                     350.000000000000            11.529500000000          6866.828990500528
HOM20_O6                     366.000000000000            10.326200000000          6530.894084432420
HOM20_O7                     382.000000000000             9.519600000000          6825.962901885381
HOM20_O8                     398.000000000000             8.805600000000          6688.351203514801
HOM20_O9                     414.000000000000            11.060800000000          7730.102502500322
HOM20_O10                    430.000000000000            10.346800000000          7592.490793900310
HOM20_O11                    446.000000000000            11.053600000000          8453.305076263192
HOM20_O12                    462.000000000000            10.339600000000          8315.693427042817
HOM20_O13                    478.000000000000            11.046300000000          9176.507666635007
HOM20_O14                    494.000000000000            10.332300000000          9038.896065765819
HOM20_O15                    510.000000000000            11.582600000000         10060.214241247004
HOM20_O16                    526.000000000000            11.873500000000          9943.035651621762
HOM20_O17                    542.000000000000            12.580300000000         10803.849939180098
HOM20_NO7                    397.000000000000            11.277400000000          6792.983081151509
HOM20_NO8                    413.000000000000            10.272400000000          6772.549983116891
HOM20_NO9                    429.000000000000            11.270200000000          7516.185702734299
HOM20_NO10                   445.000000000000            11.977000000000          8376.999985519782
HOM20_NO11                   461.000000000000            11.298000000000          7854.579847911561
HOM20_NO12                   477.000000000000            12.004800000000          8715.394106810547
HOM20_NO13                   493.000000000000            11.290800000000          8577.782424045932
HOM20_NO14                   509.000000000000            11.997600000000          9438.596762236768
HOM20_NO15                   525.000000000000            11.283600000000          9300.985076879730
HOM20_NO16                   541.000000000000            11.827100000000          9461.488975185068
HOM20_NO17                   557.000000000000            12.824800000000         10205.124648774896
HOM20_NO18                   573.000000000000            11.819845262832         10184.691610000003
HOM19_O5                     336.000000000000            11.111141834271          6615.139161000002
HOM19_O6                     352.000000000000             9.907791708903          6279.204282000000
HOM19_O7                     368.000000000000             9.101206675543          6574.273067999999
HOM19_O8                     384.000000000000             8.387210622699          6436.661387999998
HOM19_O9                     400.000000000000            10.642416977297          7478.412658999998
HOM19_O10                    416.000000000000             9.928420938730          7340.800985000000
HOM19_O11                    432.000000000000            10.635195160657          8201.615312999997
HOM19_O12                    448.000000000000             9.921199227026          8064.003667999999
HOM19_O13                    464.000000000000            10.627973390332          8924.817983000006
HOM19_O14                    480.000000000000             9.913977301525          8787.206291000002
HOM19_O15                    496.000000000000            11.164215896100          9808.524464999997
HOM19_O16                    512.000000000000            11.455187648744          9691.345898999993
HOM19_O17                    528.000000000000            12.161961789254         10552.160200000006
HOM19_O18                    544.000000000000            11.483038782566         10029.739970000002
HOM19_NO8                    399.000000000000             9.854088589470          6520.860315000002
HOM19_NO9                    415.000000000000            10.851834140623          7264.495953000004
HOM19_NO10                   431.000000000000            11.558608023365          8125.310192000000
HOM19_NO11                   447.000000000000            10.879685534204          7602.890105999997
HOM19_NO12                   463.000000000000            11.586459340429          8463.704318000006
HOM19_NO13                   479.000000000000            10.872463582217          8326.092721000001
HOM19_NO14                   495.000000000000            11.579237547128          9186.906973000001
HOM19_NO15                   511.000000000000            10.865241537561          9049.295310000001
HOM19_NO16                   527.000000000000            11.408706053004          9209.799196999997
HOM19_NO17                   543.000000000000            12.406451756060          9953.434875999999
HOM19_NO18                   559.000000000000            11.401484391823          9933.001887999999
HOM18_O5                     322.000000000000            10.692781030147          6363.449463999997
HOM18_O6                     338.000000000000             9.489430555029          6027.514486000001
HOM18_O7                     354.000000000000             8.682845663631          6322.583321999998
HOM18_O8                     370.000000000000             7.968849585146          6184.971624999999
HOM18_O9                     386.000000000000            10.224056083051          7226.722938000001
HOM18_O10                    402.000000000000             9.510060074961          7089.111273999998
HOM18_O11                    418.000000000000            10.216834100021          7949.925546999999
HOM18_O12                    434.000000000000             9.502837949447          7812.313834000000
HOM18_O13                    450.000000000000            10.209612113375          8673.128155999997
HOM18_O14                    466.000000000000             9.495616059625          8535.516466999996
HOM18_O15                    482.000000000000            10.745854837618          9556.834698999999
HOM18_O16                    498.000000000000            11.036826654151          9439.656143000007
HOM18_O17                    514.000000000000            11.743600702498         10300.470430000001
HOM18_O18                    530.000000000000            11.064677757003          9778.050209999998
HOM18_NO9                    401.000000000000            10.433472955111          7012.806156000003
HOM18_NO10                   417.000000000000            11.140247340462          7873.620527999997
HOM18_NO11                   433.000000000000            10.461324277670          7351.200279999998
HOM18_NO12                   449.000000000000            11.168098416269          8212.014585999999
HOM18_NO13                   465.000000000000            10.454102443462          8074.402940999999
HOM18_NO14                   481.000000000000            11.160876584283          8935.217239999998
HOM18_NO15                   497.000000000000            10.446880432589          8797.605530000001
HOM18_NO16                   513.000000000000            10.990345051969          8958.109446999999
HOM18_NO17                   529.000000000000            11.988090787699          9701.745136000005
HOM18_NO18                   545.000000000000            10.983123271250          9681.312107999995
HOM18_NO19                   561.000000000000            11.980868781626         10424.947730000005
R_HOM_OH_O6                  233.000000000000             9.678300000000          5637.296609034431
R_HOM_OH_O8                  265.000000000000             7.885400000000          5220.698708371651
R_HOM_OH_O9                  281.000000000000             7.171400000000          5083.087071016971
R_HOM_OH_O10                 297.000000000000             7.878200000000          5943.901299290477
HOM_OH_O5CBN                 216.000000000000             8.673300000000          5616.863495242183
HOM_OH_O7CBN                 248.000000000000             6.880400000000          5200.265671715771
HOM_OH_O8CBN                 264.000000000000             6.166400000000          5062.653994115302
HOM_OH_O9CBN                 280.000000000000             6.873200000000          5923.468267152740
HOM_OH_O4                    202.000000000000             9.388400000000          5583.298432707729
HOM_OH_O5                    218.000000000000            10.385000000000          6498.110924830324
HOM_OH_O6                    234.000000000000             7.885400000000          5220.698708371651
HOM_OH_O7                    250.000000000000             8.592200000000          6081.513024673879
HOM_OH_O8                    266.000000000000             7.878200000000          5943.901299290477
HOM_OH_O9                    282.000000000000             6.874300000000          5752.291487092441
HOM_OH_O10                   298.000000000000             7.581100000000          6613.105809404993
HOM_OH_NO6                   247.000000000000             9.426200000000          5563.450659825249
HOM_OH_NO7                   263.000000000000            10.133000000000          6424.264975792520
HOM_OH_NO8                   279.000000000000             7.633300000000          5146.852915402640
HOM_OH_NO9                   295.000000000000             8.340100000000          6007.667093210470
HOM_OH_NO10                  311.000000000000             7.626100000000          5870.055494914420
HOM_OH_NO11                  327.000000000000             8.332800000000          6730.869731572422
HOM20_OH_O6                  370.000000000000            10.067400000000          6802.350920462139
HOM20_OH_O7                  386.000000000000             9.352300000000          6835.915983981291
HOM20_OH_O8                  402.000000000000             8.564400000000          6439.751255664892
